RUN,TOR860_POTe12,TOTAL_TRIGGERS
3844,1.122789e+06,265293
3843,6.930463e+05,163933
3842,1.183147e+06,275764
3841,1.237394e+06,313018
3840,1.258633e+06,281489
3837,1.142659e+06,253974
3836,1.054838e+06,234278
3835,2.036027e+04,4537
3834,1.627442e+06,360247
3833,7.367123e+05,162770
3832,1.514739e+06,336966
3829,1.493675e+06,335970
3828,1.249639e+06,281441
3825,1.559703e+05,34864
3823,7.430331e+05,175974
3822,1.376171e+05,31052
3821,1.462567e+05,33946
3820,5.725248e+04,13240
3818,1.067618e+05,23313
3817,3.389392e+05,75674
3816,9.779346e+03,2202
3815,4.360036e+04,9830
3814,8.874965e+05,200077
3811,2.548212e+05,57896
3809,3.229482e+04,7329
3803,1.072038e+04,2463
3800,4.267151e+05,95833
3799,3.490785e+04,7703
3798,2.319652e+03,499
3796,3.187787e+05,68511
3795,4.719408e+05,104813
3794,4.926233e+05,109760
3791,3.328732e+05,73116
3786,2.757561e+05,62400
3785,2.663758e+04,6028
3784,5.886453e+04,13300
3783,1.865976e+05,42378
3779,1.055255e+05,23744
3778,2.107733e+05,47490
3777,1.361965e+06,308361
3776,1.454189e+06,328687
3775,1.064059e+06,241102
3774,1.595091e+06,361552
3773,2.669564e+05,60498
3771,6.365925e+05,144182
3766,2.368394e+05,54496
3765,8.987898e+04,20582
3763,8.103484e+05,185272
3760,7.202868e+05,163432
3758,4.759787e+05,107959
3756,1.256688e+06,282598
3754,5.286861e+05,117272
3752,4.770540e+05,109553
3751,9.547111e+05,213209
3750,1.632665e+06,364941
3744,6.051238e+03,1346
3743,1.416501e+06,314941
3742,1.695776e+06,368441
3741,1.561289e+06,338833
3738,5.373578e+05,116966
3737,4.478717e+05,97775
3732,2.132472e+05,46496
3725,9.224157e+05,202125
3724,1.570667e+06,340740
3723,2.766973e+05,61500
3717,9.025266e+05,199418
3716,2.441122e+04,5375
3708,3.119102e+05,69329
3695,5.155654e+04,11284
3690,5.325877e+04,11593
3689,1.057384e+06,229977
3688,4.383946e+05,94248
3685,7.507234e+05,171392
3684,6.917361e+04,14775
3681,1.477143e+05,31533
3680,8.435966e+04,18108
3679,7.307336e+04,15819
3675,8.037901e+04,17204
3672,3.349723e+05,71401
3670,8.940439e+05,191075
3668,8.062957e+05,172752
3667,1.222152e+06,261388
3663,4.055101e+05,86808
3662,5.682778e+04,12142
3660,2.163794e+04,4646
3659,2.012424e+05,43075
3658,2.485816e+05,53488
3657,1.511884e+05,32030
3653,1.041242e+06,247345
3649,1.494247e+06,337236
3646,2.145318e+05,49690
3644,5.839667e+04,13474
3641,6.699252e+05,148565
3639,7.329452e+05,156800
3638,1.282624e+06,275820
3637,1.378153e+06,298679
3636,1.333534e+04,2909
3634,2.058766e+05,45026
3633,9.224971e+05,196831
3632,6.939997e+04,14443
3631,1.804640e+04,3827
3627,1.039177e+06,224315
3626,1.498682e+06,339618
3625,4.994337e+04,11364
3624,1.824616e+05,41637
3623,3.153127e+05,72041
3616,7.437975e+04,16983
3613,1.438490e+04,3294
3612,1.450747e+05,33053
3611,1.505411e+05,32666
3604,3.831371e+05,82024
3601,6.502154e+05,141542
3599,8.254210e+05,179095
3598,1.156913e+06,250145
3597,4.595440e+05,99944
3596,7.000844e+05,150894
3595,3.237839e+05,78654
3590,6.476637e+04,14309
3589,6.393541e+04,14052
3586,2.870105e+04,7231
3585,6.166538e+05,138085
3577,8.523556e+05,189138
3576,1.220023e+06,270308
3574,5.085015e+04,10965
3573,1.498260e+06,320618
3572,7.473472e+05,159415
3571,1.464836e+04,3113
3570,1.395532e+06,296754
3569,1.394263e+06,309326
3568,1.056900e+06,231279
3564,3.245067e+05,68883
3554,2.268452e+04,4578
3544,8.711068e+05,177133
3539,4.829562e+04,9718
3538,4.476027e+04,8992
3537,1.946009e+05,39021
3535,8.861729e+04,17756
3534,5.347993e+05,114320
3531,2.768681e+05,59500
3530,3.085543e+05,67149
3529,7.890033e+04,18289
3528,6.240013e+04,14448
3526,5.853440e+03,1313
3525,2.075450e+06,447134
3524,5.186392e+04,11050
3523,7.724696e+04,16425
3522,6.920662e+04,14427
3519,2.624835e+04,5370
3506,2.767689e+05,59101
3504,5.599850e+04,11953
3499,1.371798e+05,29340
3498,6.644280e+05,143291
3497,2.448467e+06,531807
3494,3.105044e+05,72052
3493,4.814472e+04,11159
3492,4.325075e+04,10046
3491,2.647176e+06,637324
3490,9.735502e+05,230094
3489,1.337876e+06,311632
3488,4.478828e+05,104963
3487,1.841539e+05,43018
3483,2.748440e+05,63565
3482,3.662459e+05,88283
3481,2.177902e+06,467883
3478,4.178855e+04,8983
3477,2.351007e+06,516022
3476,5.045799e+05,109660
3475,3.049411e+05,66942
3474,8.148422e+05,180553
3472,7.311021e+04,16056
3471,1.160600e+06,254548
3470,1.230066e+06,268741
3469,4.784221e+05,104476
3465,1.452265e+06,318514
3464,3.040374e+05,69887
3463,1.507524e+05,33356
3462,5.618034e+05,125320
3461,5.159419e+04,11652
3459,1.632468e+04,4663
3456,2.936830e+03,732
3452,6.751273e+05,161069
3450,3.962731e+05,91957
3449,1.141742e+06,252994
3448,3.507645e+05,79486
3447,7.793670e+05,174817
3445,3.130273e+05,69701
3442,5.136902e+05,118521
3441,6.152004e+05,144991
3440,2.453275e+05,57408
3438,1.118661e+05,26046
3437,1.540775e+06,354088
3436,7.500690e+04,16789
3435,3.119244e+05,70707
3434,1.276742e+06,292224
3432,7.622246e+05,176264
3429,1.095362e+04,2543
3422,5.027404e+05,131452
3421,6.701141e+04,14938
3420,6.007654e+04,13347
3419,7.888481e+05,175141
3418,4.175740e+05,93528
3417,1.275798e+05,28519
3416,6.817818e+05,155236
3415,1.098477e+05,24656
3414,1.930497e+05,43414
3413,1.610300e+05,36225
3412,6.190528e+04,13903
3411,5.824381e+05,130320
3409,6.426341e+05,143553
3408,1.753153e+05,38931
3406,8.828384e+04,19583
3405,2.775040e+06,647734
3404,5.407005e+04,13567
3403,1.969025e+05,49895
3400,1.139673e+06,281197
3398,4.821437e+04,11844
3396,5.450853e+05,131390
3395,2.954324e+05,71421
3394,6.212320e+04,14914
3393,1.072322e+06,268016
3392,1.387755e+06,349204
3391,8.104435e+05,202540
3390,6.765128e+04,16978
3389,1.986548e+06,489416
3388,1.239395e+05,30799
3375,1.023762e+06,276055
3373,2.117761e+04,5697
3372,9.347858e+05,255027
3371,1.138614e+06,306182
3369,1.600053e+05,35660
3368,8.655761e+04,19872
3366,3.162656e+05,87370
3365,2.817982e+05,77384
3364,6.806714e+05,201625
3362,7.859413e+05,215774
3361,4.798568e+05,131182
3360,3.112320e+05,85585
3356,5.548016e+04,15402
3355,1.079277e+06,297839
3354,1.042114e+06,292193
3353,1.572374e+05,42936
3350,8.307288e+05,201036
3349,2.238749e+06,493751
3348,2.366548e+06,525498
3346,8.872460e+05,198869
3343,9.579325e+04,21150
3338,2.873755e+04,6829
3336,5.766239e+04,13368
3335,5.712901e+05,133733
3334,2.410455e+05,56377
3333,5.402607e+05,120829
3332,6.227472e+05,139852
3331,1.374165e+06,306606
3328,6.717535e+05,148483
3326,1.304418e+05,28884
3325,1.574358e+06,371109
3323,1.570844e+05,44489
3320,2.057715e+04,5815
3319,8.704309e+05,243491
3316,9.579181e+05,266774
3312,6.243484e+04,17527
3309,3.263363e+05,91008
3308,7.941778e+05,215183
3306,2.117944e+05,64454
3304,3.450810e+05,104618
3267,7.456517e+05,169684
3263,6.791222e+04,15525
3257,1.424578e+06,316474
3256,1.801092e+06,473308
3252,3.692318e+04,9781
3250,1.200918e+06,306522
3247,1.013761e+06,263336
3246,1.690524e+06,440048
3243,1.902308e+06,499374
3242,7.332009e+05,194623
3241,1.378101e+06,361805
3239,1.250765e+06,316985
3237,7.694119e+05,199388
3236,1.562875e+06,398434
3233,1.129465e+06,301761
3224,5.127053e+05,142253
3223,1.097178e+06,300585
3222,8.574267e+05,233241
3220,2.702417e+05,72686
3219,1.708418e+05,45774
3218,1.449395e+06,389831
3217,4.914083e+05,131987
3216,1.117967e+06,296834
3215,6.996454e+04,18911
3211,1.631630e+05,43980
3209,5.167435e+05,138998
3207,2.784825e+05,73964
4450,1.186035e+04,2819
4449,6.340825e+05,150782
4448,5.661929e+04,12747
4447,1.692173e+05,38186
4446,9.453704e+04,21637
4445,9.702559e+04,22923
4444,3.500296e+04,8926
4443,5.512861e+05,124255
4441,3.557156e+05,77762
4438,1.085767e+06,266910
4437,1.195380e+06,278921
4434,8.451396e+05,256800
4433,8.035435e+05,221678
4432,5.523304e+05,147979
4431,5.158755e+05,130219
4429,1.129984e+04,2743
4428,3.569543e+05,115921
4427,5.498912e+03,1921
4426,2.350772e+05,83210
4424,5.984422e+05,168785
4422,2.198772e+06,576085
4418,1.339696e+04,3544
4416,0.000000e+00,0
4410,0.000000e+00,0
4406,6.679385e+05,220356
4404,1.705457e+06,480326
4403,7.856212e+04,20008
4402,1.020711e+05,25391
4401,1.132230e+05,23923
4400,8.665134e+05,206786
4399,2.088273e+04,4678
4398,3.042580e+04,6776
4397,5.506729e+05,137641
4395,7.492347e+04,17555
4394,3.124145e+05,90308
4390,2.935271e+06,719500
4389,3.249155e+06,832631
4386,4.701431e+05,143026
4385,6.460426e+04,20504
4384,1.419805e+06,431937
4382,8.839258e+05,195665
4381,0.000000e+00,0
4377,0.000000e+00,0
4376,0.000000e+00,0
4370,8.347775e+05,168018
4369,7.398808e+04,14866
4368,2.733149e+05,55087
4362,1.269726e+06,270726
4358,1.588801e+06,340393
4356,3.563796e+05,76805
4354,5.047266e+04,10782
4348,1.819942e+05,41603
4346,3.299051e+05,74271
4345,1.831047e+04,3904
4339,3.771170e+06,847120
4337,1.749891e+04,3700
4336,1.707066e+04,3615
4335,5.385423e+04,11435
4334,8.476712e+05,212883
4331,1.177772e+06,291773
4324,4.831957e+06,1424853
4321,3.015120e+05,65327
4319,4.163754e+05,128214
4317,9.588053e+04,30117
4316,5.107138e+05,165633
4200,2.764821e+05,65973
4197,5.955061e+05,150194
4196,6.225068e+04,15719
4195,3.056521e+06,763751
4194,3.557205e+06,835374
4191,9.459939e+05,233999
4189,3.926542e+06,844175
4188,2.938490e+06,632214
4183,1.048766e+06,236831
4182,1.434184e+05,32228
4180,1.163616e+06,265571
4173,1.389708e+05,31576
4172,5.808899e+04,13279
4171,8.334041e+05,190276
4169,1.959196e+06,450792
4168,5.745274e+06,1328618
4145,0.000000e+00,0
4140,0.000000e+00,0
4139,0.000000e+00,0
4136,3.628597e+06,756942
4135,1.623261e+05,34469
4134,8.200879e+05,175278
4132,5.785802e+05,123214
4131,4.944953e+05,105884
4129,1.443866e+06,313120
4126,1.240901e+05,26845
4123,5.271114e+02,113
4122,2.122934e+04,4531
4121,3.000972e+05,64713
4120,1.438638e+06,313402
4119,3.711422e+06,800430
4111,1.623919e+06,350822
